"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"207","11X418","Bronx High School for the Visual Arts","61","0.38","0.006","63","0.509","0","47","0.069","0","69","0.752","0.43","68","0.676","62","0.488","48","0","61","0.471","49","0.316","69","0.645","83","0.913"
"208","11X455","Harry S Truman High School","61","0.431","0.024","68","0.667","0.13","54","0.327","0.055","69","0.713","0.394","65","0.6","71","0.741","62","0.394",NA,NA,"62","0.471","68","0.678","91","1"
"209","11X508","Bronxdale High School","60","0.31","0.01","55","0.218","0","46","0.208","0.042","67","0.644","0.288","72","0.742","60","0.438",NA,NA,NA,NA,"52","0.068","59","0.43","91","1"
"210","11X509","High School of Language and Innovation","62","0.474","0.019","66","0.644","0.092","55","0.265","0.059","66","0.719","0.307","68","0.719","54","0.363","64","0.4",NA,NA,"67","0.658","57","0.371","91","0.98"
"211","11X513","New World High School","68","0.685","0.087","66","0.615","0.174","62","0.5","0.242","66","0.651","0.312","78","0.844","57","0.387","70","0.781","65","0.577","65","0.58","60","0.42","91","0.989"
"212","11X514","The Bronxwood Preparatory Academy","62","0.473","0.032","72","0.875","0.292",NA,NA,NA,"70","0.694","0.43","65","0.606","60","0.507",NA,NA,NA,NA,"70","0.65","64","0.547",NA,NA
"213","11X542","Pelham Preparatory Academy","64","0.567","0.102","62","0.467","0.057","53","0.297","0.063","77","0.868","0.645","81","0.844","65","0.55","62","0.381",NA,NA,"62","0.447","67","0.613","89","0.986"
"214","11X544","High School for Contemporary Arts","59","0.313","0.038","43","0.018","0","44","0.133","0","65","0.601","0.343","63","0.556","50","0.162","53","0.235",NA,NA,"47","0.129","57","0.346","83","0.933"
"215","11X545","Bronx Aerospace High School","58","0.306","0.006","59","0.396","0.021",NA,NA,NA,"70","0.729","0.467","70","0.723","57","0.424",NA,NA,NA,NA,"61","0.313","63","0.524",NA,NA
"216","12X242","Mott Hall V","74","0.903","0.298","70","0.727","0.227","71","0.744","0.233","80","0.898","0.786","83","0.902","67","0.598","63","0.333","75","0.824","67","0.626","71","0.798","91","1"
"217","12X248","Metropolitan High School, The","64","0.591","0.027","53","0.194","0.03","50","0.261","0.043","66","0.602","0.35","71","0.686","59","0.449","55","0.233",NA,NA,"60","0.367","60","0.5","91","1"
"218","12X251","Explorations Academy","61","0.419","0.008","47","0.107","0.018","65","0.519","0.148","65","0.644","0.278","67","0.667","56","0.357",NA,NA,NA,NA,"52","0.103","65","0.547",NA,NA
"219","12X267","Bronx Latin","68","0.713","0.101","67","0.703","0.135","60","0.483","0.069","76","0.866","0.639","77","0.831","64","0.546","62","0.495",NA,NA,"59","0.414","68","0.672","90","0.962"
"220","12X271","East Bronx Academy for the Future","65","0.628","0.076","59","0.318","0.045","50","0.258","0.129","67","0.665","0.247","62","0.548","64","0.569","55","0.173","46","0.242","55","0.276","62","0.489","95","1"
"221","12X278","Peace and Diversity Academy","59","0.261","0",NA,NA,NA,NA,NA,NA,"63","0.667","0.196","68","0.643","55","0.447",NA,NA,NA,NA,NA,NA,"59","0.447",NA,NA
"222","12X372","Urban Assembly School for Wildlife Conservation","64","0.507","0.048",NA,NA,NA,"44","0.111","0.028","76","0.872","0.628","70","0.747","57","0.406",NA,NA,NA,NA,"58","0.313","64","0.571","77","0.692"
"223","12X388","Pan American International High School at Monroe","67","0.74","0.014",NA,NA,NA,NA,NA,NA,"70","0.775","0.392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","12X478","THE CINEMA SCHOOL","68","0.715","0.139","66","0.604","0.104","57","0.314","0.071","76","0.876","0.608","83","0.9","69","0.763","53","0.127",NA,NA,"62","0.426","67","0.606",NA,NA
"225","12X479","Bronx Career and College Preparatory High School","60","0.367","0.041","54","0.161","0.016",NA,NA,NA,"66","0.631","0.431","61","0.452","57","0.407",NA,NA,NA,NA,"52","0.155","65","0.612",NA,NA
"226","12X511","Bronx Envision Academy","60","0.378","0.027","51","0.125","0.018","39","0.065","0","71","0.713","0.468","64","0.527","48","0.157","56","0.211",NA,NA,"57","0.34","57","0.359",NA,NA
"227","12X521","The Metropolitan Soundview High School","64","0.574","0.049","59","0.441","0.068","50","0.182","0.03","72","0.82","0.516","72","0.743","56","0.336",NA,NA,NA,NA,"69","0.65","64","0.602","86","0.889"
"228","12X550","High School of World Cultures","57","0.273","0.021","44","0.081","0.014","33","0.107","0.071","57","0.487","0.23","73","0.753","61","0.496","40","0.148",NA,NA,"46","0.123","58","0.471","94","0.982"
"229","12X682","Fannie Lou Hamer Freedom High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","0.634","0.272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","12X684","Wings Academy","56","0.197","0","45","0","0",NA,NA,NA,"71","0.766","0.449","67","0.675","57","0.312",NA,NA,NA,NA,"59","0.37","59","0.353","83","1"
"231","12X692","Monroe Academy for Visual Arts & Design","66","0.587","0.063","62","0.457","0",NA,NA,NA,"67","0.744","0.211","68","0.713","58","0.378",NA,NA,NA,NA,"63","0.533","62","0.466","88","1"
