Name,Sub,Score
The High School of Fashion Industries,Writing,427
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Writing,411
The High School for Global Citizenship,Writing,375
"The High School for Enterprise, Business and Techn",Writing,425
The Global Learning Collaborative,Writing,413
The Equality Charter School,Writing,NA
The College Academy,Writing,363
THE CINEMA SCHOOL,Writing,448
The Brooklyn School for Math and Research,Writing,NA
The Brooklyn Academy of Global Finance,Writing,391
The Bronxwood Preparatory Academy,Writing,392
Teachers Preparatory High School,Writing,412
Talent Unlimited High School,Writing,496
Susan E. Wagner High School,Writing,487
Sunset Park High School,Writing,381
Summit Academy Charter School,Writing,NA
Stuyvesant High School,Writing,693
Stephen T. Mather Building Arts & Craftsmanship Hi,Writing,NA
Staten Island Technical High School,Writing,670
Special Music School,Writing,NA
South Bronx Preparatory: A College Board School,Writing,394
Sheepshead Bay High School,Writing,367
Secondary School for Law,Writing,414
Secondary School for Journalism,Writing,415
"Science, Technology and Research Early College Hig",Writing,484
"Science Skills Center High School for Science, Tec",Writing,386
Schuylerville Preparatory High School,Writing,NA
School of the Future High School,Writing,522
School for Tourism and Hospitality,Writing,NA
School for Legal Studies,Writing,394
School for International Studies,Writing,394
"School for Human Rights, The",Writing,400
School for Excellence,Writing,383
School for Democracy and  Leadership,Writing,390
Scholars' Academy,Writing,568
Samuel Gompers Career and Technical Education High,Writing,NA
Rockaway Park High School for Environmental Sustai,Writing,376
Rockaway Collegiate High School,Writing,405
Robert H. Goddard High School of Communication Art,Writing,424
"Robert F. Wagner, Jr. Secondary School for Arts an",Writing,445
Robert F. Kennedy Community High School,Writing,423
Riverdale / Kingsbridge Academy (Middle School / H,Writing,476
Richmond Hill High School,Writing,399
Richard R. Green High School of Teaching,Writing,409
Repertory Company High School for Theatre Arts,Writing,458
Renaissance High School for Musical Theater & Tech,Writing,393
Renaissance Charter School,Writing,481
Renaissance Charter High School for Innovation,Writing,389
Ralph R. McKee Career and Technical Education High,Writing,409
Rachel Carson High School for Coastal Studies,Writing,421
Quest to Learn,Writing,NA
Queens Vocational and Technical High School,Writing,432
"Queens School of Inquiry, The",Writing,486
Queens Preparatory Academy,Writing,403
