"","Ranking","School Name","US History Score (%)","Global History Score (%)","Averaged Score (%)"
"460",460,"Facing History School, The",NA,NA,NA
"461",461,"Expeditionary Learning School for Community Leader",NA,NA,NA
"462",462,"Excellence Boys Charter School",NA,NA,NA
"463",463,"Essex Street Academy",NA,NA,NA
"464",464,"Epic High School - South",72,NA,NA
"465",465,"Epic High School - North",NA,NA,NA
"466",466,"Energy Tech High School",NA,80,NA
"467",467,"El Puente Academy for Peace and Justice",NA,NA,NA
"468",468,"East Side Community School",NA,NA,NA
"469",469,"Dr. Richard Izquierdo Health and Science Charter S",NA,79,NA
"470",470,"Democracy Prep Harlem Charter School",NA,82,NA
"471",471,"Crotona International High School",NA,NA,NA
"472",472,"Coney Island Preparatory Public Charter School",NA,71,NA
"473",473,"Community School for Social Justice",NA,NA,NA
"474",474,"Claremont International HS",NA,NA,NA
"475",475,"Business Technology Early College High School",77,NA,NA
"476",476,"Brownsville Collegiate Charter School",NA,80,NA
"477",477,"Brooklyn Secondary School for Collaborative Studie",NA,NA,NA
"478",478,"Brooklyn International High School",NA,NA,NA
"479",479,"Brooklyn East Collegiate Charter School",NA,NA,NA
"480",480,"Bronx River High School",NA,58,NA
"481",481,"Bronx Lab School",NA,NA,NA
"482",482,"Bronx International High School",NA,NA,NA
"483",483,"Bronx Collaborative High School",NA,NA,NA
"484",484,"Bronx Academy for Software Engineering (BASE)",NA,66,NA
"485",485,"Benjamin Franklin High School for Finance & Inform",NA,NA,NA
"486",486,"Beacon High School",NA,NA,NA
"487",487,"Achievement First East New York Charter School",NA,77,NA
