"","Ranking","School Name","Averaged Score (%)"
"414",414,"Archimedes Academy for Math, Science and Technolog",78
"415",415,"Alfred E. Smith Career and Technical Education Hig",78
"416",416,"Academy for Environmental Leadership",78
"417",417,"Urban Assembly School for Wildlife Conservation",77
"418",418,"The Urban Assembly Bronx Academy of Letters",77
"419",419,"The Opportunity Charter School",77
"420",420,"New Explorations into Science, Technology and Math",77
"421",421,"N.Y.C. Museum School",77
"422",422,"Foreign Language Academy of Global Studies",77
"423",423,"FDNY High School for Fire and Life Safety",77
"424",424,"Cambria Heights Academy",77
"425",425,"August Martin High School",77
"426",426,"Wings Academy",76
"427",427,"Transit Tech Career and Technical Education High S",76
"428",428,"School for Democracy and  Leadership",76
"429",429,"Rockaway Collegiate High School",76
"430",430,"Richmond Hill High School",76
"431",431,"Grace Dodge Career and Technical Education High Sc",76
"432",432,"Frederick Douglass Academy VI High School",76
"433",433,"DeWitt Clinton High School",76
"434",434,"Cultural Academy for the Arts and Sciences",76
"435",435,"City Polytechnic High School of Engineering, Archi",76
"436",436,"Brooklyn Studio Secondary School",76
"437",437,"Brooklyn High School of the Arts",76
"438",438,"Bronx Leadership Academy High School",76
"439",439,"Antonia Pantoja Preparatory Academy: A College Boa",76
"440",440,"Brooklyn High School for Law and Technology",75
"441",441,"Women's Academy of Excellence",74
"442",442,"High School for Violin and Dance",74
"443",443,"High School for Contemporary Arts",74
"444",444,"Herbert H. Lehman High School",74
"445",445,"Grover Cleveland High School",74
"446",446,"Eagle Academy for Young Men III",74
"447",447,"Collegiate Institute for Math and Science",74
"448",448,"Cobble Hill School of American Studies",74
"449",449,"Clara Barton High School",74
"450",450,"Brooklyn School for Global Studies",74
"451",451,"Brooklyn Lab School",74
"452",452,"Bronx High School of Business",74
"453",453,"Bronx High School for the Visual Arts",74
"454",454,"Academy for College Preparation and Career Explora",74
"455",455,"University Prep Charter High School",73
"456",456,"Flushing High School",73
"457",457,"William Cullen Bryant High School",72
"458",458,"Fiorello H. LaGuardia High School of Music & Art a",72
"459",459,"Murry Bergtraum High School for Business Careers",71
"460",460,"Business, Computer Applications & Entrepreneurship",71
"461",461,"Cypress Hills Collegiate Preparatory School",70
"462",462,"High School of Arts and Technology",69
"463",463,"Queens Gateway to Health Sciences Secondary School",67
"464",464,"High School of Graphic Communication Arts",67
"465",465,"Banana Kelly High School",66
"466",466,"Williamsburg Collegiate Charter School",NA
"467",467,"The Uft Charter School",NA
"468",468,"Samuel Gompers Career and Technical Education High",NA
"469",469,"Ocean Hill Collegiate Charter School",NA
"470",470,"KIPP STAR College Prep Charter School",NA
"471",471,"KIPP Infinity Charter School",NA
"472",472,"KIPP AMP Charter School",NA
"473",473,"KIPP Academy Charter School",NA
"474",474,"Kings Collegiate Charter School",NA
"475",475,"International Arts Business School",NA
"476",476,"Harlem Village Academy Leadership Charter School",NA
"477",477,"Harlem Village Academy Charter School",NA
"478",478,"Excellence Boys Charter School",NA
"479",479,"Brownsville Collegiate Charter School",NA
"480",480,"Brooklyn Preparatory High School",NA
"481",481,"Brooklyn East Collegiate Charter School",NA
"482",482,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA
"483",483,"Automotive High School",NA
"484",484,"Achievement First Endeavor Charter School",NA
"485",485,"Achievement First East New York Charter School",NA
"486",486,"Achievement First Crown Heights Charter School",NA
"487",487,"Achievement First Bushwick Charter School",NA
