"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"160","02M414","N.Y.C. Museum School","24","0.182","1","22","0.182","1","24","0.173","23","0.182"
"161","02M412","N.Y.C. Lab School for Collaborative Studies","25","0.411","1","23","0.411","1","23","0.313","23","0.411"
"162","02M520","Murry Bergtraum High School for Business Careers",NA,"0.025","1",NA,"0.025","1",NA,"0.025",NA,"0.025"
"163","19K583","Multicultural High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"164","07X473","Mott Haven Village Preparatory High School",NA,"0.022","0",NA,"0.022","0",NA,"0.022",NA,"0.022"
"165","12X242","Mott Hall V",NA,"0.013","0",NA,"0.013","1",NA,"0.013",NA,"0.013"
"166","05M304","Mott Hall High School","16","0.155","1","14","0.155","1",NA,"0.01","17","0.155"
"167","09X252","Mott Hall Bronx High School","17","0.714","1","15","0.714","1","16","0.451","17","0.714"
"168","09X297","Morris Academy for Collaborative Studies",NA,"0.014","0",NA,"0.014","0",NA,"0.014",NA,"0.014"
"169","12X692","Monroe Academy for Visual Arts & Design",NA,"0.037","1",NA,"0.037","0",NA,"0.018",NA,"0.037"
"170","02M418","Millennium High School","26","0.417","1","25","0.417","1","26","0.265","25","0.417"
"171","15K684","Millennium Brooklyn HS",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"172","08X312","Millennium Art Academy",NA,"0.046","1",NA,"0.046","1",NA,"0.046",NA,"0.046"
"173","22K405","Midwood High School","25","0.158","1","23","0.158","1","24","0.143","23","0.158"
"174","24Q520","Middle College High School at LaGuardia Community",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"175","12X248","Metropolitan High School, The",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
