"","Ranking","School Name","Averaged Score - all subjects (%)"
"423",423,"Bronx School for Law, Government and Justice",NA
"424",424,"Bronx River High School",NA
"425",425,"Bronx Lighthouse Charter School",NA
"426",426,"Bronx Leadership Academy II High School",NA
"427",427,"Bronx Leadership Academy High School",NA
"428",428,"Bronx Latin",NA
"429",429,"Bronx Lab School",NA
"430",430,"Bronx International High School",NA
"431",431,"Bronx High School of Business",NA
"432",432,"Bronx High School for Writing and Communication Ar",NA
"433",433,"Bronx High School for Medical Science",NA
"434",434,"Bronx High School for Law and Community Service",NA
"435",435,"Bronx Guild",NA
"436",436,"Bronx Envision Academy",NA
"437",437,"Bronx Engineering and Technology Academy",NA
"438",438,"Bronx Early College Academy for Teaching & Learnin",NA
"439",439,"Bronx Design and Construction Academy",NA
"440",440,"Bronx Compass High School",NA
"441",441,"Bronx Collegiate Academy",NA
"442",442,"Bronx Collaborative High School",NA
"443",443,"Bronx Career and College Preparatory High School",NA
"444",444,"BRONX BRIDGES HIGH SCHOOL",NA
"445",445,"Bronx Aerospace High School",NA
"446",446,"Bronx Academy of Health Careers",NA
"447",447,"Bronx Academy for Software Engineering (BASE)",NA
"448",448,"Bread & Roses Integrated Arts High School",NA
"449",449,"Boys and Girls High School",NA
"450",450,"Benjamin Franklin High School for Finance & Inform",NA
"451",451,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA
"452",452,"Bedford Academy High School",NA
"453",453,"Beacon High School",NA
"454",454,"Baruch College Campus High School",NA
"455",455,"Bard High School Early College Queens",NA
"456",456,"Bard High School Early College",NA
"457",457,"Banana Kelly High School",NA
"458",458,"Baccalaureate School for Global Education",NA
"459",459,"Automotive High School",NA
"460",460,"August Martin High School",NA
"461",461,"Astor Collegiate Academy",NA
"462",462,"Arts & Media Preparatory Academy",NA
"463",463,"Archimedes Academy for Math, Science and Technolog",NA
"464",464,"Antonia Pantoja Preparatory Academy: A College Boa",NA
"465",465,"All City Leadership Secondary School",NA
"466",466,"Alfred E. Smith Career and Technical Education Hig",NA
"467",467,"ACORN Community High School",NA
"468",468,"Achievement First Endeavor Charter School",NA
"469",469,"Achievement First East New York Charter School",NA
"470",470,"Achievement First Crown Heights Charter School",NA
"471",471,"Achievement First Bushwick Charter School",NA
"472",472,"Academy of Urban Planning",NA
"473",473,"Academy of Medical Technology: A College Board Sch",NA
"474",474,"Academy of Innovative Technology",NA
"475",475,"Academy of Hospitality and Tourism",NA
"476",476,"Academy of American Studies",NA
"477",477,"Academy for Young Writers",NA
"478",478,"Academy for Software Engineering",NA
"479",479,"Academy for Social Action: A College Board School",NA
"480",480,"Academy for Scholarship and Entrepreneurship: A Co",NA
"481",481,"Academy for Language and Technology",NA
"482",482,"Academy for Health Careers",NA
"483",483,"Academy for Environmental Leadership",NA
"484",484,"Academy for Conservation and the Environment",NA
"485",485,"Academy for College Preparation and Career Explora",NA
"486",486,"A. Philip Randolph Campus High School",NA
"487",487,"47 The American Sign Language and English Secondar",NA
