"","school.name","lat","lon","addr","zipcode"
"412","Bronx Lighthouse Charter School",40.8234049,-73.897151,"1005 Intervale Ave, Bronx, NY 10459, USA",10459
"413","Bronx Leadership Academy II High School",40.822489,-73.92314,"730A Concourse Village W, Bronx, NY 10451, USA",10451
"414","Bronx Leadership Academy High School",40.8434287,-73.9031094,"1710 Webster Ave, Bronx, NY 10457, USA",10457
"415","Bronx Latin",40.8271204,-73.9008891,"800 Home St #426, Bronx, NY 10456, USA",10456
"416","Bronx Lab School",40.8750988,-73.8616623,"800 E Gun Hill Rd, Bronx, NY 10467, USA",10467
"417","Bronx International High School",40.8271913,-73.9040046,"1100 Boston Rd, Bronx, NY 10456, USA",10456
"418","Bronx High School of Science",40.8783054,-73.890843,"75 W 205th St, Bronx, NY 10468, USA",10468
"419","Bronx High School of Business",40.8396545,-73.911386,"240 E 172nd St, Bronx, NY 10457, USA",10457
"420","Bronx High School for Writing and Communication Ar",40.8751619,-73.8616096,"800 E Gun Hill Rd, Bronx, NY 10467, USA",10467
"421","Bronx High School for the Visual Arts",40.8517178,-73.864467,"50 Antin Pl, Bronx, NY 10462, USA",10462
"422","Bronx High School for Medical Science",40.8396545,-73.911386,"240 E 172nd St, Bronx, NY 10457, USA",10457
"423","Bronx High School for Law and Community Service",40.8595181,-73.8885909,"500 E Fordham Rd, Bronx, NY 10458, USA",10458
"424","Bronx Health Sciences High School",40.8740126,-73.8333032,"750 Baychester Ave, Bronx, NY 10475, USA",10475
"425","Bronx Guild",40.821999,-73.855774,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473
"426","Bronx Envision Academy",40.8363157,-73.8907414,"1619 Boston Rd, Bronx, NY 10460, USA",10460
